title,link,salary_raw,company,company_type,company_size_raw,scrape_time,description,salary_monthly,company_size,ln_salary,AI_general,AI_specialized,has_AI,AI_category,industry_type,experience_level,education,company_type_group,job_category
AI应用工程师,https://jobs.51job.com/hangzhou-scq/171849596.html?s=sou_sou_soulb&t=0_0&req=4e0ebb4430969d7419a85079da7374de,2.5-4万,浙江中国轻纺城网络,国企,150-500人,2026/5/14 17:13,"1.专业要求：计算机科学与技术、软件工程、网络工程、电子信息工程、通信工程、自动化、信息管理与信息系统、数学与应用数学、统计学、物联网工程、人工智能、智能科学与技术专业；
2.学历要求：全日制本科及以上学历；
3.学位要求：学士学位及以上；
4.年龄要求：40周岁及以下；
5.工作年限及经历要求：2年及以上AI 应用开发工作经验，其中至少 1 年独立负责智能体项目的全生命周期开发经验；精通智能体核心功能开发，能实现架构设计落地；具备多模态交互开发经验；有行业场景智能体落地经验者优先；
6.其他要求（职称、资格等等）：无。
职能类别：
算法工程师",32500.0,150-500人,10.388995368317829,True,True,True,Both,Digital-Intensive,1-3 yr,Bachelor,State-Owned,Engineering
ai应用工程师,https://jobs.51job.com/hangzhou-laq/171943065.html?s=sou_sou_soulb&t=0_0&req=4e0ebb4430969d7419a85079da7374de,1.8-2.8万,星空深智（杭州）科技,民营,少于50人,2026/5/14 17:13,"我们需要的不是“懂AI的人”，而是能把AI真正用进每一个业务岗位的执行者——从销售到客服，从运营到内容，一个一个岗位地改造，把AI工具做进日常工作流里。
重点提示：这不是实验项目，是要在真实业务里跑起来的，沟通时需明确告知候选人岗位核心是“业务AI化落地”，而非纯技术研究。

任职要求
核心硬性要求（必须全部满足，缺一不可）
1.全栈独立交付能力：熟练掌握Python / Node.js后端开发，能完成基础前端交互页面开发；可独立完成“需求对接→开发→上线→迭代”全流程，无需专人指导，具备完整项目经历（非单一环节参与）。
2.AI实战能力（拒绝“仅了解”）：有主流LLM API（OpenAI / DeepSeek / 通义等）使用经验，熟练掌握Prompt编写、参数调试；至少使用过Dify / FastGPT / Coze / LangChain中的一种，搭建过完整AI流程；有RAG知识库搭建或多步骤Agent工作流搭建经验者优先。
3.业务沟通能力：能主动对接销售、运营等业务部门，独立挖掘业务需求，无需产品经理提供完整需求文档；能将技术方案转化为业务语言，推动业务同事接受并使用AI工具。
职能类别：
深度学习工程师",23000.0,少于50人,10.043249494911286,True,True,True,Both,Digital-Intensive,1-3 yr,Unspecified,Private,Engineering
AI高级开发工程师,https://jobs.51job.com/hangzhou-bjq/157248747.html?s=sou_sou_soulb&t=0_0&req=4e0ebb4430969d7419a85079da7374de,1.6-3.2万,上海杏和软件,民营,150-500人,2026/5/14 17:13,"工作职责：
1.负责细分行业(如政务等)的知识数据清洗挖掘、知识图谱构建、智能问答系统落地实现，包括但不限于智能问答、智能写作、个性化推荐等应用；
2.参与并落地模型和系统、应用的搭建及工程化部署，确保服务端的稳定性、可扩展性、安全性和效率；
3.负责异构图管理及演化、专家知识沉淀的图谱构建系统的搭建。

任职要求：
1.人工智能相关专业，全日制硕士学位以上，计算机科学相关专业背景；
2. 研究方向是知识图谱及其应用（有论文为证优先）。

加分项：
1. 有医疗领域知识图谱相关经验者优先；
2.有知识图谱、图存储/图计算、LLM应用、机器学习等领域相关经验。
职能类别：
算法工程师",24000.0,150-500人,10.085809109330082,True,True,True,Both,Digital-Intensive,3+ yr,Masters,Private,Engineering
中级AI大模型应用工程师,https://jobs.51job.com/hangzhou-scq/171332476.html?s=sou_sou_soulb&t=0_0&req=4e0ebb4430969d7419a85079da7374de,1.3-2.6万·15薪,浙江省公众信息产业有限公司杭州市,国企,少于50人,2026/5/14 17:13,"岗位职责：
1、负责AI大模型在实际业务场景中的应用开发，提升模型性能与用户体验。
2、参与需求分析，根据不同类型的需求场景，结合业务目标选择AI技术/模型实现相关需求，设计模型应用场景与技术方案
3、基于开源或商用大模型，利用Prompt工程、RAG、Agent、微调等技术，构建和优化智能应用（如智能问答、内容生成、知识管理、数据分析、代码助手等）
4、开发和维护与大模型应用相关的核心模块，如文本嵌入、向量数据库检索、智能体工作流编排、评估与测试框架等
5、负责大模型应用的工程化落地，包括数据处理、API服务封装、性能优化、安全合规性控制，并协助部署上线
6、跟踪大模型领域的最新开源项目和技术动态，进行技术预研和原型验证，并将***实践沉淀为团队的工具与标准

任职要求：
1、本科及以上学历，计算机相关专业本科以上
2、熟练掌握 Python，工作中注重代码的规范性与可读性；有java项目开发经验、使用过spring AI人员优先；能使用Java或Python开发api接口，实现大规模与业务系统的数据交互
3、有模型部署优化经验，了解vLLM、TGI等推理加速技术，或模型量化、剪枝等技术；有视觉或多模态大模型（如视觉理解、图像生成）的应用开发经验；能独立部署deepseek、Qwen等主流AI大模型
4、熟练掌握Agent编排、MCP、Prompt工程、RAG框架与向量检索机制，具备强烈的AI产品落地意识与业务理解能力
5、具备完整的AI项目开发到上线的经验，能够根据业务需求设计并实现AI解决方案
6、具有较强的抗压性，有泛政府项目、企业行业项目开发经验者优先。
职能类别：
算法工程师",24375.0,少于50人,10.101313295866047,True,True,True,Both,Digital-Intensive,1-3 yr,Bachelor,State-Owned,Engineering
AI Agent工程师(杭州）,https://jobs.51job.com/hangzhou-yhq/171150785.html?s=sou_sou_soulb&t=0_0&req=4e0ebb4430969d7419a85079da7374de,1.5-3万,湖北良顷农业科技,民营,50-150人,2026/5/14 17:13,"【岗位职责】
智能体架构设计： 负责基于大语言模型（LLM）的 AI Agent 架构设计与开发，包括但不限于计划（Planning）、记忆（Memory）、工具使用（Tool Use）等核心模块的实现与优化。

应用落地开发： 深度参与公司核心业务场景（如：智能客服、自动化工作流、代码生成助手、数据分析助手等）的智能体应用开发，实现从需求到落地的完整闭环。

框架与工具链： 熟练使用 LangChain、LangGraph、AutoGen、CrewAI 或 Semantic Kernel 等主流智能体编排框架，搭建稳定、可控的智能体工作流。

提示工程与微调： 负责复杂任务的 Prompt Engineering（提示词工程），通过 Chain-of-Thought（思维链）、ReAct 等模式提升模型表现；必要时参与模型的指令微调（SFT）或 RLHF 优化。

性能评估与优化： 建立完善的智能体评估体系（Agent Evaluation），对智能体的规划准确性、工具调用成功率、响应延迟进行持续监控与迭代优化。

前沿技术探索： 跟踪 AI Agent 领域的最新学术研究和工业界动态（如 RAG 增强检索、多智能体协作等），并将成熟技术引入产品迭代。

【任职要求】
学历与经验： 计算机科学、人工智能或相关专业本科及以上学历，具有 3 年以上后端或算法工程经验，至少 1 年以上的大模型应用开发经验。

编程能力： 扎实的编程功底，精通 Python 或 TypeScript，具备良好的代码规范和工程化能力（Git、CI/CD、单元测试）。

大模型认知： 深入理解 Transformer 架构、大模型的推理原理及局限性，熟悉 OpenAI、Anthropic、智谱、通义千问、DeepSeek 等主流模型的 API 调用与差异。

框架掌握： 熟练掌握至少一种 Agent 框架（如 LangChain、LangGraph），并有实际项目落地经验。理解 ReAct 模式、Self-ask 等推理范式。

工具调用： 熟悉如何将外部工具（如搜索引擎、计算器、API、数据库、浏览器）封装为智能体可调用的函数（Function Calling/Tools）。

向量数据库： 熟悉 RAG 技术栈，掌握至少一种向量数据库（如 Pinecone、Weaviate、Chroma、Milvus、Qdrant）的使用与优化。

问题解决能力： 具备优秀的逻辑思维和解决复杂问题的能力，能够处理智能体在复杂任务中的“幻觉”和“逻辑断裂”问题。
职能类别：
深度学习工程师",22500.0,50-150人,10.021270588192511,True,True,True,Both,Digital-Intensive,1-3 yr,Bachelor,Private,Engineering
高级AI大模型应用工程师,https://jobs.51job.com/hangzhou-scq/171332412.html?s=sou_sou_soulb&t=0_0&req=4e0ebb4430969d7419a85079da7374de,2.6-4万,浙江省公众信息产业有限公司杭州市,国企,少于50人,2026/5/14 17:13,"岗位职责：
1、负责AI大模型在实际业务场景中的应用开发，提升模型性能与用户体验。
2、参与需求分析，根据不同类型的需求场景，结合业务目标选择AI技术/模型实现相关需求，设计模型应用场景与技术方案
3、基于开源或商用大模型，利用Prompt工程、RAG、Agent、微调等技术，构建和优化智能应用（如智能问答、内容生成、知识管理、数据分析、代码助手等）
4、开发和维护与大模型应用相关的核心模块，如文本嵌入、向量数据库检索、智能体工作流编排、评估与测试框架等
5、负责大模型应用的工程化落地，包括数据处理、API服务封装、性能优化、安全合规性控制，并协助部署上线
6、跟踪大模型领域的最新开源项目和技术动态，进行技术预研和原型验证，并将***实践沉淀为团队的工具与标准

任职要求：
1、本科及以上学历，计算机相关专业本科以上
2、熟练掌握 Python，工作中注重代码的规范性与可读性；有java项目开发经验、使用过spring AI人员优先；能使用Java或Python开发api接口，实现大规模与业务系统的数据交互
3、有模型部署优化经验，了解vLLM、TGI等推理加速技术，或模型量化、剪枝等技术；有视觉或多模态大模型（如视觉理解、图像生成）的应用开发经验；能独立部署deepseek、Qwen等主流AI大模型
4、熟练掌握Agent编排、MCP、Prompt工程、RAG框架与向量检索机制，具备强烈的AI产品落地意识与业务理解能力
5、具备完整的AI项目开发到上线的经验，能够根据业务需求设计并实现AI解决方案
6、具有较强的抗压性，有泛政府项目、企业行业项目开发经验者优先。
职能类别：
算法工程师",33000.0,少于50人,10.404262840448617,True,True,True,Both,Digital-Intensive,3+ yr,Bachelor,State-Owned,Engineering
ai产品经理,https://jobs.51job.com/hangzhou-yhq/171282731.html?s=sou_sou_soulb&t=0_0&req=4e0ebb4430969d7419a85079da7374de,1.2-2.4万·13薪,浙江诺特健康科技,民营,500-1000人,2026/5/14 17:13,"岗位职责：
1.负责A相关产品的规划、设计及全生命周期管理，包括需求调研、原型设计、版本迭代和效果评估。
2.深入理解用户场景，挖掘A技术在实际业务中的落地机会，设计具有竞争力的A解决方案。
3.协同算法、工程、设计、业务等团队，推动产品功能高质量落地，并持续跟踪、分析产品数据，驱动产品优化。
4.关注A技术发展趋势，特别是开放平台、Al Agent、AI Coding等领域的前沿动态，并探索其产品化路径。
任职要求：
1.本科及以上学历，计算机、软件工程、人工智能等相关
专业优先。
2.具备3年及以上互联网产品经验，有从0到1的AI产品或功能实践经验者优先，能力突出的优秀人才可适当放宽年限要求。
3.在以下至少一个方向有实践经验或深度思考:开放平台/开发者生态、AlAgent(智能体)、Al编程(AI Coding)/代码生成。需在简历或面试中体现具体项目经历、个人洞察或创新探索。
4.具备较强的逻辑思维、用户洞察和数据分析能力，能够清晰定义问题并设计有效解决方案。
5.良好的沟通协调能力和项目推动力，能高效协同多方资源达成目标。
职能类别：
产品经理/主管",19500.0,500-1000人,9.878169744551839,True,True,True,Both,Digital-Intensive,1-3 yr,Bachelor,Private,Product
AI客户经理,https://jobs.51job.com/hangzhou/170077354.html?s=sou_sou_soulb&t=0_0&req=4e0ebb4430969d7419a85079da7374de,20-40万/年,杭州市滨江区浙工大人工智能创新研究院,非营利组织,150-500人,2026/5/14 17:13,"岗位职责：
1、负责AI产品推广与销售管理，制定销售策略，完成研究院销售目标；
2、维护老客户、开发新客户，维护渠道关系，拓展行业合作伙伴等；
3、配合团队完成任务，定期汇报进展与客户需求；
4、开展市场调研，收集行业及竞品信息，支撑销售策略制定。

岗位要求：
1、本科及以上学历；
2、3-5年AI产品销售经验；
3、沟通协作能力强，具备市场分析与客户开发能力，能独立完成销售任务；
4、善于解决客户问题，抗压能力强，责任心强。
职能类别：
大客户销售",25000.0,150-500人,10.126631103850338,True,False,True,General-Purpose AI,Digital-Intensive,1-3 yr,Bachelor,Other,Management
AI产品总监（互动体验方向）,https://jobs.51job.com/hangzhou/170929070.html?s=sou_sou_soulb&t=0_0&req=4e0ebb4430969d7419a85079da7374de,2.5-4.5万·13薪,郑州巨鲨网络科技,民营,150-500人,2026/5/14 17:13,"职位描述：AI产品总监（互动体验方向）
（诚聘有大厂产品经理经验者，薪资可议）
。
一、岗位核心目标
负责平台内AI互动功能（如智能对话伙伴、个性化内容生成等）的规划与产品化。通过创新的交互设计，提升用户粘性与互动深度，构建独特的平台氛围。
二、主要工作职责
1. 体验策略与规划：深度洞察Z世代用户的社交与互动偏好，定义核心AI功能（如个性化对话、趣味内容生成）的用户体验目标与关键指标（如留存率、互动频次、用户生成内容量）。
2. 功能设计与落地：
· 智能对话体：设计虚拟伙伴的互动人格、对话逻辑、成长体系及视觉呈现，确保交互自然、有吸引力。
· 个性化内容模块：规划与用户画像深度结合的轻互动内容（如个性化主题探索、趣味测试等）的产品形态与推荐逻辑。
· 撰写严谨的产品需求文档，明确技术实现路径与用户体验标准。
3. 数据驱动迭代：建立AI功能的效果评估体系，通过数据分析与A/B测试，持续优化互动效果与用户满意度。
4. 跨团队协同：高效联动算法、设计、运营及内容团队，确保产品理念从设计到上线的完整实现。
三、任职要求
· 硬性要求：
· 5年以上互联网产品经验，在字节等ai领域头部大厂任职过，且完整带过项目者优先。
· 具备出色的数据分析能力，熟练使用SQL及数据分析工具。
· 逻辑清晰，具备优秀的沟通能力和项目管理能力。
· 核心能力：
· 深度用户洞察：深刻理解Z世代用户的线上行为、文化语境及核心诉求。
· 体验设计能力：能将抽象的用户偏好转化为具体、可落地的交互与功能设计。
· 创新与平衡力：在追求体验创新的同时，能严谨评估技术可行性与长期产品健康度。有过游戏类 疗愈类 电子宠物养成类 ai模型对话类agent对话模型的大牛 对z时代用户有深刻了解 对追星 乙游 二次元等有了解加分。
职能类别：
AI产品经理",37916.666666666664,150-500人,10.543146048145086,True,False,True,General-Purpose AI,Digital-Intensive,3+ yr,Unspecified,Private,Product
AI应用工程师,https://jobs.51job.com/hangzhou-scq/171849596.html?s=sou_sou_soulb&t=0_0&req=451eae81422a74d7772903b24d814a24,2.5-4万,浙江中国轻纺城网络,国企,150-500人,2026/5/14 17:14,"1.专业要求：计算机科学与技术、软件工程、网络工程、电子信息工程、通信工程、自动化、信息管理与信息系统、数学与应用数学、统计学、物联网工程、人工智能、智能科学与技术专业；
2.学历要求：全日制本科及以上学历；
3.学位要求：学士学位及以上；
4.年龄要求：40周岁及以下；
5.工作年限及经历要求：2年及以上AI 应用开发工作经验，其中至少 1 年独立负责智能体项目的全生命周期开发经验；精通智能体核心功能开发，能实现架构设计落地；具备多模态交互开发经验；有行业场景智能体落地经验者优先；
6.其他要求（职称、资格等等）：无。
职能类别：
算法工程师",32500.0,150-500人,10.388995368317829,True,True,True,Both,Digital-Intensive,1-3 yr,Bachelor,State-Owned,Engineering
ai应用工程师,https://jobs.51job.com/hangzhou-laq/171943065.html?s=sou_sou_soulb&t=0_0&req=451eae81422a74d7772903b24d814a24,1.8-2.8万,星空深智（杭州）科技,民营,少于50人,2026/5/14 17:14,"我们需要的不是“懂AI的人”，而是能把AI真正用进每一个业务岗位的执行者——从销售到客服，从运营到内容，一个一个岗位地改造，把AI工具做进日常工作流里。
重点提示：这不是实验项目，是要在真实业务里跑起来的，沟通时需明确告知候选人岗位核心是“业务AI化落地”，而非纯技术研究。

任职要求
核心硬性要求（必须全部满足，缺一不可）
1.全栈独立交付能力：熟练掌握Python / Node.js后端开发，能完成基础前端交互页面开发；可独立完成“需求对接→开发→上线→迭代”全流程，无需专人指导，具备完整项目经历（非单一环节参与）。
2.AI实战能力（拒绝“仅了解”）：有主流LLM API（OpenAI / DeepSeek / 通义等）使用经验，熟练掌握Prompt编写、参数调试；至少使用过Dify / FastGPT / Coze / LangChain中的一种，搭建过完整AI流程；有RAG知识库搭建或多步骤Agent工作流搭建经验者优先。
3.业务沟通能力：能主动对接销售、运营等业务部门，独立挖掘业务需求，无需产品经理提供完整需求文档；能将技术方案转化为业务语言，推动业务同事接受并使用AI工具。
职能类别：
深度学习工程师",23000.0,少于50人,10.043249494911286,True,True,True,Both,Digital-Intensive,1-3 yr,Unspecified,Private,Engineering
AI高级开发工程师,https://jobs.51job.com/hangzhou-bjq/157248747.html?s=sou_sou_soulb&t=0_0&req=451eae81422a74d7772903b24d814a24,1.6-3.2万,上海杏和软件,民营,150-500人,2026/5/14 17:14,"工作职责：
1.负责细分行业(如政务等)的知识数据清洗挖掘、知识图谱构建、智能问答系统落地实现，包括但不限于智能问答、智能写作、个性化推荐等应用；
2.参与并落地模型和系统、应用的搭建及工程化部署，确保服务端的稳定性、可扩展性、安全性和效率；
3.负责异构图管理及演化、专家知识沉淀的图谱构建系统的搭建。

任职要求：
1.人工智能相关专业，全日制硕士学位以上，计算机科学相关专业背景；
2. 研究方向是知识图谱及其应用（有论文为证优先）。

加分项：
1. 有医疗领域知识图谱相关经验者优先；
2.有知识图谱、图存储/图计算、LLM应用、机器学习等领域相关经验。
职能类别：
算法工程师",24000.0,150-500人,10.085809109330082,True,True,True,Both,Digital-Intensive,3+ yr,Masters,Private,Engineering
中级AI大模型应用工程师,https://jobs.51job.com/hangzhou-scq/171332476.html?s=sou_sou_soulb&t=0_0&req=451eae81422a74d7772903b24d814a24,1.3-2.6万·15薪,浙江省公众信息产业有限公司杭州市,国企,少于50人,2026/5/14 17:14,"岗位职责：
1、负责AI大模型在实际业务场景中的应用开发，提升模型性能与用户体验。
2、参与需求分析，根据不同类型的需求场景，结合业务目标选择AI技术/模型实现相关需求，设计模型应用场景与技术方案
3、基于开源或商用大模型，利用Prompt工程、RAG、Agent、微调等技术，构建和优化智能应用（如智能问答、内容生成、知识管理、数据分析、代码助手等）
4、开发和维护与大模型应用相关的核心模块，如文本嵌入、向量数据库检索、智能体工作流编排、评估与测试框架等
5、负责大模型应用的工程化落地，包括数据处理、API服务封装、性能优化、安全合规性控制，并协助部署上线
6、跟踪大模型领域的最新开源项目和技术动态，进行技术预研和原型验证，并将***实践沉淀为团队的工具与标准

任职要求：
1、本科及以上学历，计算机相关专业本科以上
2、熟练掌握 Python，工作中注重代码的规范性与可读性；有java项目开发经验、使用过spring AI人员优先；能使用Java或Python开发api接口，实现大规模与业务系统的数据交互
3、有模型部署优化经验，了解vLLM、TGI等推理加速技术，或模型量化、剪枝等技术；有视觉或多模态大模型（如视觉理解、图像生成）的应用开发经验；能独立部署deepseek、Qwen等主流AI大模型
4、熟练掌握Agent编排、MCP、Prompt工程、RAG框架与向量检索机制，具备强烈的AI产品落地意识与业务理解能力
5、具备完整的AI项目开发到上线的经验，能够根据业务需求设计并实现AI解决方案
6、具有较强的抗压性，有泛政府项目、企业行业项目开发经验者优先。
职能类别：
算法工程师",24375.0,少于50人,10.101313295866047,True,True,True,Both,Digital-Intensive,1-3 yr,Bachelor,State-Owned,Engineering
AI Agent工程师(杭州）,https://jobs.51job.com/hangzhou-yhq/171150785.html?s=sou_sou_soulb&t=0_0&req=451eae81422a74d7772903b24d814a24,1.5-3万,湖北良顷农业科技,民营,50-150人,2026/5/14 17:14,"【岗位职责】
智能体架构设计： 负责基于大语言模型（LLM）的 AI Agent 架构设计与开发，包括但不限于计划（Planning）、记忆（Memory）、工具使用（Tool Use）等核心模块的实现与优化。

应用落地开发： 深度参与公司核心业务场景（如：智能客服、自动化工作流、代码生成助手、数据分析助手等）的智能体应用开发，实现从需求到落地的完整闭环。

框架与工具链： 熟练使用 LangChain、LangGraph、AutoGen、CrewAI 或 Semantic Kernel 等主流智能体编排框架，搭建稳定、可控的智能体工作流。

提示工程与微调： 负责复杂任务的 Prompt Engineering（提示词工程），通过 Chain-of-Thought（思维链）、ReAct 等模式提升模型表现；必要时参与模型的指令微调（SFT）或 RLHF 优化。

性能评估与优化： 建立完善的智能体评估体系（Agent Evaluation），对智能体的规划准确性、工具调用成功率、响应延迟进行持续监控与迭代优化。

前沿技术探索： 跟踪 AI Agent 领域的最新学术研究和工业界动态（如 RAG 增强检索、多智能体协作等），并将成熟技术引入产品迭代。

【任职要求】
学历与经验： 计算机科学、人工智能或相关专业本科及以上学历，具有 3 年以上后端或算法工程经验，至少 1 年以上的大模型应用开发经验。

编程能力： 扎实的编程功底，精通 Python 或 TypeScript，具备良好的代码规范和工程化能力（Git、CI/CD、单元测试）。

大模型认知： 深入理解 Transformer 架构、大模型的推理原理及局限性，熟悉 OpenAI、Anthropic、智谱、通义千问、DeepSeek 等主流模型的 API 调用与差异。

框架掌握： 熟练掌握至少一种 Agent 框架（如 LangChain、LangGraph），并有实际项目落地经验。理解 ReAct 模式、Self-ask 等推理范式。

工具调用： 熟悉如何将外部工具（如搜索引擎、计算器、API、数据库、浏览器）封装为智能体可调用的函数（Function Calling/Tools）。

向量数据库： 熟悉 RAG 技术栈，掌握至少一种向量数据库（如 Pinecone、Weaviate、Chroma、Milvus、Qdrant）的使用与优化。

问题解决能力： 具备优秀的逻辑思维和解决复杂问题的能力，能够处理智能体在复杂任务中的“幻觉”和“逻辑断裂”问题。
职能类别：
深度学习工程师",22500.0,50-150人,10.021270588192511,True,True,True,Both,Digital-Intensive,1-3 yr,Bachelor,Private,Engineering
高级AI大模型应用工程师,https://jobs.51job.com/hangzhou-scq/171332412.html?s=sou_sou_soulb&t=0_0&req=451eae81422a74d7772903b24d814a24,2.6-4万,浙江省公众信息产业有限公司杭州市,国企,少于50人,2026/5/14 17:14,"岗位职责：
1、负责AI大模型在实际业务场景中的应用开发，提升模型性能与用户体验。
2、参与需求分析，根据不同类型的需求场景，结合业务目标选择AI技术/模型实现相关需求，设计模型应用场景与技术方案
3、基于开源或商用大模型，利用Prompt工程、RAG、Agent、微调等技术，构建和优化智能应用（如智能问答、内容生成、知识管理、数据分析、代码助手等）
4、开发和维护与大模型应用相关的核心模块，如文本嵌入、向量数据库检索、智能体工作流编排、评估与测试框架等
5、负责大模型应用的工程化落地，包括数据处理、API服务封装、性能优化、安全合规性控制，并协助部署上线
6、跟踪大模型领域的最新开源项目和技术动态，进行技术预研和原型验证，并将***实践沉淀为团队的工具与标准

任职要求：
1、本科及以上学历，计算机相关专业本科以上
2、熟练掌握 Python，工作中注重代码的规范性与可读性；有java项目开发经验、使用过spring AI人员优先；能使用Java或Python开发api接口，实现大规模与业务系统的数据交互
3、有模型部署优化经验，了解vLLM、TGI等推理加速技术，或模型量化、剪枝等技术；有视觉或多模态大模型（如视觉理解、图像生成）的应用开发经验；能独立部署deepseek、Qwen等主流AI大模型
4、熟练掌握Agent编排、MCP、Prompt工程、RAG框架与向量检索机制，具备强烈的AI产品落地意识与业务理解能力
5、具备完整的AI项目开发到上线的经验，能够根据业务需求设计并实现AI解决方案
6、具有较强的抗压性，有泛政府项目、企业行业项目开发经验者优先。
职能类别：
算法工程师",33000.0,少于50人,10.404262840448617,True,True,True,Both,Digital-Intensive,3+ yr,Bachelor,State-Owned,Engineering
ai产品经理,https://jobs.51job.com/hangzhou-yhq/171282731.html?s=sou_sou_soulb&t=0_0&req=451eae81422a74d7772903b24d814a24,1.2-2.4万·13薪,浙江诺特健康科技,民营,500-1000人,2026/5/14 17:14,"岗位职责：
1.负责A相关产品的规划、设计及全生命周期管理，包括需求调研、原型设计、版本迭代和效果评估。
2.深入理解用户场景，挖掘A技术在实际业务中的落地机会，设计具有竞争力的A解决方案。
3.协同算法、工程、设计、业务等团队，推动产品功能高质量落地，并持续跟踪、分析产品数据，驱动产品优化。
4.关注A技术发展趋势，特别是开放平台、Al Agent、AI Coding等领域的前沿动态，并探索其产品化路径。
任职要求：
1.本科及以上学历，计算机、软件工程、人工智能等相关
专业优先。
2.具备3年及以上互联网产品经验，有从0到1的AI产品或功能实践经验者优先，能力突出的优秀人才可适当放宽年限要求。
3.在以下至少一个方向有实践经验或深度思考:开放平台/开发者生态、AlAgent(智能体)、Al编程(AI Coding)/代码生成。需在简历或面试中体现具体项目经历、个人洞察或创新探索。
4.具备较强的逻辑思维、用户洞察和数据分析能力，能够清晰定义问题并设计有效解决方案。
5.良好的沟通协调能力和项目推动力，能高效协同多方资源达成目标。
职能类别：
产品经理/主管",19500.0,500-1000人,9.878169744551839,True,True,True,Both,Digital-Intensive,1-3 yr,Bachelor,Private,Product
AI客户经理,https://jobs.51job.com/hangzhou/170077354.html?s=sou_sou_soulb&t=0_0&req=451eae81422a74d7772903b24d814a24,20-40万/年,杭州市滨江区浙工大人工智能创新研究院,非营利组织,150-500人,2026/5/14 17:14,"岗位职责：
1、负责AI产品推广与销售管理，制定销售策略，完成研究院销售目标；
2、维护老客户、开发新客户，维护渠道关系，拓展行业合作伙伴等；
3、配合团队完成任务，定期汇报进展与客户需求；
4、开展市场调研，收集行业及竞品信息，支撑销售策略制定。

岗位要求：
1、本科及以上学历；
2、3-5年AI产品销售经验；
3、沟通协作能力强，具备市场分析与客户开发能力，能独立完成销售任务；
4、善于解决客户问题，抗压能力强，责任心强。
职能类别：
大客户销售",25000.0,150-500人,10.126631103850338,True,False,True,General-Purpose AI,Digital-Intensive,1-3 yr,Bachelor,Other,Management
AI产品总监（互动体验方向）,https://jobs.51job.com/hangzhou/170929070.html?s=sou_sou_soulb&t=0_0&req=451eae81422a74d7772903b24d814a24,2.5-4.5万·13薪,郑州巨鲨网络科技,民营,150-500人,2026/5/14 17:14,"职位描述：AI产品总监（互动体验方向）
（诚聘有大厂产品经理经验者，薪资可议）
。
一、岗位核心目标
负责平台内AI互动功能（如智能对话伙伴、个性化内容生成等）的规划与产品化。通过创新的交互设计，提升用户粘性与互动深度，构建独特的平台氛围。
二、主要工作职责
1. 体验策略与规划：深度洞察Z世代用户的社交与互动偏好，定义核心AI功能（如个性化对话、趣味内容生成）的用户体验目标与关键指标（如留存率、互动频次、用户生成内容量）。
2. 功能设计与落地：
· 智能对话体：设计虚拟伙伴的互动人格、对话逻辑、成长体系及视觉呈现，确保交互自然、有吸引力。
· 个性化内容模块：规划与用户画像深度结合的轻互动内容（如个性化主题探索、趣味测试等）的产品形态与推荐逻辑。
· 撰写严谨的产品需求文档，明确技术实现路径与用户体验标准。
3. 数据驱动迭代：建立AI功能的效果评估体系，通过数据分析与A/B测试，持续优化互动效果与用户满意度。
4. 跨团队协同：高效联动算法、设计、运营及内容团队，确保产品理念从设计到上线的完整实现。
三、任职要求
· 硬性要求：
· 5年以上互联网产品经验，在字节等ai领域头部大厂任职过，且完整带过项目者优先。
· 具备出色的数据分析能力，熟练使用SQL及数据分析工具。
· 逻辑清晰，具备优秀的沟通能力和项目管理能力。
· 核心能力：
· 深度用户洞察：深刻理解Z世代用户的线上行为、文化语境及核心诉求。
· 体验设计能力：能将抽象的用户偏好转化为具体、可落地的交互与功能设计。
· 创新与平衡力：在追求体验创新的同时，能严谨评估技术可行性与长期产品健康度。有过游戏类 疗愈类 电子宠物养成类 ai模型对话类agent对话模型的大牛 对z时代用户有深刻了解 对追星 乙游 二次元等有了解加分。
职能类别：
AI产品经理",37916.666666666664,150-500人,10.543146048145086,True,False,True,General-Purpose AI,Digital-Intensive,3+ yr,Unspecified,Private,Product
